date_info,name,title,content,rating
Reviewed in India on 28 January 2020,Sanjay Sharma,Fantastic product at most competitive price (Gadar),Fantastic product at most reasonable price. Instant hit in my kitchen and family. Does toughest jobs very easily. I can utilize my time for other important jobs while the Inalsa air fryer is doing my cooking jobs.,5.0 out of 5 stars
Reviewed in India on 16 August 2020,sudeshna,Healthy option to cook and great value.,Its been a couple of weeks I am using it. Going great so far. Cooks really well with hardly any oil. Very healthy and tasty.. Quality of plastic can be a tad better but ofcourse I got what I paid for.,4.0 out of 5 stars
Reviewed in India on 31 October 2020,shyam prasad sv,Defective item,"Received defective product. Not able to return as Amazon doesnot have the return policy. They have only replacement. In the name of discounts, Amazon and their team is clearing off the defective items. Not reliable amazon india. ALSO DO NOT BELIEVE THEIR NO COST EMI PLANS. DO NOT FALL PREY TO AMAZON INDIA.THEAE LURING PLANS ARE ONLY BENEFITTING AMAZON INDIA. BANKS ARE ALSO SUPPORTING THIS MENACE.",1.0 out of 5 stars
Reviewed in India on 21 March 2021,Abdul Nazir,Replace my air fryer please,"I am from Port Blair, Andaman and Nicobar Islands. On 11th feb 2021 i received one INALSA air fryer during my trip to Chennai. I used the air fryer only once but noticed that its body is getting very hot and from the next day it stopped working. Is there any possibility to replace it now?",1.0 out of 5 stars
Reviewed in India on 29 December 2020,Ridhi B.,Incomplete product,No user manual or booklet provided with the product ! How am I supposed to know how to it works??,1.0 out of 5 stars
Reviewed in India on 18 April 2021,Nancy,Easy to use and affordable,"This one is just perfect if you're planing to buy an air fryer that is easy to use and very sturdy, go for Inalsa Air Fryer and you won't regret. I'm happy with this magical device.",5.0 out of 5 stars
Reviewed in India on 8 February 2021,Raj Shekhar,Genuine Review- Worst product,Worst ever product purchased. Never ever buy Inalsa products. Timer stopped working in just 2 months. Now customer care guys are not responding.. The reviews here given by people are false just to extend 6 months warranty but what will be the use of that because Inalsa will not help you if you get any issue with the product.,1.0 out of 5 stars
Reviewed in India on 25 November 2020,Yogesh Sharma,Very good,"Well to be honest , I had minimal expectations from this product however until now I have to admit this product is amazing 🤩 ..at the available price point I believe this is just the best option.. go for it 👍🏼",5.0 out of 5 stars
Reviewed in India on 17 August 2019,Prerna Jaiswal,Decent Product but little faulty,Bought one recently and have started making a few items - they are coming out good but somehow feel the product is a little faulty - basket doesn't close properly and the timer doesn't beep when it goes off. Not too sure if it is my particular product or with the product in general.,3.0 out of 5 stars
Reviewed in India on 5 September 2020,Padmashree,Quality not upto the mark,"It was working quite well in the beginning. However within a couple of weeks it started declining. Two major issues found: One design defect, pan release push button would get stuck. This happening on regular basis. They can solve this problem simply by providing stopper to limit the push button movement.. Second one, Thermostat is of poor quality, stops at 5 minutes trying to each their service center, but it is closed in Bangalore.",2.0 out of 5 stars
Reviewed in India on 8 November 2020,vikranth,Easy to use and Worthy for Money!!,"Overall i would say it is good and worthy for the money. Its easy to cook and most importantly with minimal oil. The only issue i am facing currently with ""Basket release button"", its getting stuck inside after pressing the button and unable to release back. Since the complete basket is hot to handle, we need to be extra careful while using it.",4.0 out of 5 stars
Reviewed in India on 12 November 2020,Dinesh K,"Easy to use, great taste with minimal oil","I got it for for a steal on festival sale. There is no product booklet with it so had to search google about how to operate. Once done, the first lot of fry chicken came out bad. That is where all the bad things ended. Since then it is excellent so far. Everything come out so perfect. Taste is great. Happy to have it.",5.0 out of 5 stars
Reviewed in India on 24 August 2020,Lokesh Vaishnavi,Pathetic Air fryer by Inalsa,Pathetic product by Inalsa! The top part heats up vigorously with a foul burning smell! The product on arrival was not in a good condition and deliberated with a broken box and no plastic packaging on the airfryer at all - seemed like a return item being thrown at a new customer. Would definitely not recommend it to anyone at all!,1.0 out of 5 stars
Reviewed in India on 7 February 2021,yashopriya,A convenient healthy option for people to enjoy all the food options!,My mother in law and myself really wanted this so that we could enjoy all the fried stuff in a more healthy way :) its very easy to use and ensures all the flavors are intact in whatever you are cooking! The best part about this is that no extra preparation is required and its very convenient to clean after use! All in all an amazing buy :),5.0 out of 5 stars
Reviewed in India on 20 August 2019,K A.,Value for money,Received in good Packing. Performance is good. Warranty for 2 Years is an extra feature of this product. Though I used sparingly I find no problem for other items as there is no much automation is required. We can happily purchase it.,5.0 out of 5 stars
Reviewed in India on 23 September 2020,vishesh gupta,Excellent air fryer increasing your life span...,"Minimal oil making maximum life span ...... This fryer helps me to make potato wedges, mini samosa, cheese shots, aloo chat, stuffed capsicum or stuffed tomato, cocktail pizza and alot more dishes....",5.0 out of 5 stars
Reviewed in India on 20 March 2021,Rajesh Khullar,Must have for All Health Conscious,Awesome product at a very descent price.. It has changed the way of cooking food. Now I can eat FRIED items without using OIL..Thanks Inalsa for such a lovely product. A must have for all health conscious individuals,5.0 out of 5 stars
Reviewed in India on 11 September 2020,Prashant Pandey,Skip this for a Philips,"The eject button stopped working two weeks after purchase. It's stuck. Amazon decided against helping me out. The frier gives off too much heat around it. The radius is easily 3-4 feet. This is my second Inalsa product that is of such poor quality. If I were you, after this experience, I would pay a bit more and get a Japanese brand.",2.0 out of 5 stars
