date_info,name,title,content,rating
Reviewed in India on 26 July 2020,Makhhan Lal Talwar Singh,Poor quality,"Button sticking, not working properly, dissatisfied",1.0 out of 5 stars
Reviewed in India on 1 November 2019,Amazon Customer,Poor paint quality,"The paint quality is very bad, it's started peeling off oyn three months, that to when it's very sparingly used. Needs definite improvement.",2.0 out of 5 stars
Reviewed in India on 26 October 2020,Yugesh Chawla,Very good and easy to use.,Very good product.. You can make a lot of items in it very very easily.. Should try it.,5.0 out of 5 stars
Reviewed in India on 14 June 2019,pramod y.,Loved it 😍,I bought it recently and have used it 2-3 times only but it's amazing. It's very convenient to use. Items are perfectly air fried in it. I recommend this item. It's is value for money. 👍,5.0 out of 5 stars
Reviewed in India on 3 September 2020,Anchal Garg,Not good,It's of no use as it takes a lot of time to prepare the product. Electricity consumption is too high.,2.0 out of 5 stars
Reviewed in India on 1 August 2019,Sandhya Rani Pradhan,Guiltfree,I loved it..I like fried food but due to oil..had stopped...now no guilt. .,5.0 out of 5 stars
Reviewed in India on 11 August 2020,Nimit Manglick,Eject button was not working,"Nice product, now you can have your favorite mouth watering foods without any guilt.. Very fast and convenient to use.",3.0 out of 5 stars
Reviewed in India on 30 October 2020,Binu Varkey,Best To Put in Use,A need for every home to improve health and reduce unwanted calories,5.0 out of 5 stars
Reviewed in India on 12 January 2021,prakash,Happy !,Happy !!!,4.0 out of 5 stars
Reviewed in India on 3 November 2020,Vaibhav,Awesome product,"Good quality product at reasonable price , the size is big and works well.",5.0 out of 5 stars
Reviewed in India on 25 July 2019,prabhakar singh,Don't purchase anyone,Very bed experience I will sugges to go for other brand this Brand heating problem front pannel not fit properly sensor issue Incloser issue totally wastage of money,1.0 out of 5 stars
Reviewed in India on 3 April 2021,NBBC,Perfect,Awesome Product.,5.0 out of 5 stars
Reviewed in India on 22 April 2021,kamal,Value for money,This is awesome product. Excellent way for cooking healthy and delicious food for family.,5.0 out of 5 stars
Reviewed in India on 22 February 2020,ASHOK Bhatnagar,Not able  to return this broken  piece,"Broken piece, we were out of station when we opened the package n checked, handle is broken. Now the return window was so short what to do.",1.0 out of 5 stars
Reviewed in India on 7 August 2020,Manoj Kumar Rastogi,Awesome product at this price,"Very good product. Easy to use , value for money , quality is nice. Flavour of the food is awesome and it is healthy as well.",5.0 out of 5 stars
Reviewed in India on 22 May 2019,Goutam Roy,Inalsa is the best choice.,It's function is very effective.really it is value for money.,5.0 out of 5 stars
Reviewed in India on 15 July 2020,Amazon Customer,Healthy cooking👍🏻,Love the product 👍🏻... Easy and quick oil free cooking👌,5.0 out of 5 stars
Reviewed in India on 19 December 2019,Sunny Kharbanda,Wonderful Product,"Nice Product, Demo guy 'Manthan' gave a quick and easy demo, and thats it, the product is ready to use, looks good too..",5.0 out of 5 stars
Reviewed in India on 4 February 2021,shaurya sarin,Amazing product for health conscious people,It is overall a good product I like the easy to use and the flavour of the food,5.0 out of 5 stars
Reviewed in India on 4 November 2020,PRATHVI,Good fryer,Nice design and good looking also very comfortable for cooking,5.0 out of 5 stars
Reviewed in India on 2 July 2020,hemkant,Missing Manual and Warranty card,The product has come without Product Manual and Warranty Card. Also not sure about cooking pan/ basket,3.0 out of 5 stars
Reviewed in India on 25 October 2020,Rakesh Chand,Superb product,"Good, rigid, economical and superb product. And its necessary home essential.",5.0 out of 5 stars
Reviewed in India on 24 October 2020,Varsha garg,Amazing purchase,This product is super amazing and easy to use also besides cooking without oil it doesn't compromise in flavor,5.0 out of 5 stars
Reviewed in India on 30 March 2021,Hardik Bajaj,INALSA Air Fryer,It is good for making oil free dishes and best for people who follow a strict diet..,5.0 out of 5 stars
Reviewed in India on 27 October 2020,Ramachandran Arimbathody,Thumbs up couldn't ask for more at this price !,"Well, surely a buy primarily for those who is looking up to minimise the usage of oil related stuff",4.0 out of 5 stars
Reviewed in India on 11 August 2020,Naveen Raina,Good value for money,Good value for money.,5.0 out of 5 stars
Reviewed in India on 2 August 2020,Amazon Customer,got it,I have just received it. I am new cook and am so happy to finally get something I really wanted for a long time. thanks,5.0 out of 5 stars
Reviewed in India on 28 February 2021,Alok Sikka,Not that great so so product,"It takes time to cook in comparison to my old air fryer,",3.0 out of 5 stars
Reviewed in India on 28 January 2021,Kirat,Best product at this price,Nice product!. Quite affordable!. Prepare healthy food with less or no oil!,5.0 out of 5 stars
Reviewed in India on 6 July 2020,Amazon Customer,Good product,Good product,5.0 out of 5 stars
Reviewed in India on 27 October 2020,Mandar Chavan,Usefull,Very good product very usefull,5.0 out of 5 stars
Reviewed in India on 4 May 2021,PANKAJ GOYAL,Good product,Good product,5.0 out of 5 stars
Reviewed in India on 11 May 2021,azad,Awesome,Easy to use and clean.also test good,5.0 out of 5 stars
Reviewed in India on 17 September 2020,Amazon customer,Damaged product,Slightly damaged product,4.0 out of 5 stars
Reviewed in India on 1 November 2020,Amazon Customer,all over good product.,"Outer surface very shining & only two switches are there, which keeps the dust free & easy to operate..",5.0 out of 5 stars
Reviewed in India on 4 April 2020,Pawan,Not worth buying,"Not a great product, doesn't work every second time. Many a times have to shift half cooked dishes.",3.0 out of 5 stars
Reviewed in India on 4 April 2021,sania,Very nice product,"Less use of oil,fast cooking and easy to operate.Overall nice product.",5.0 out of 5 stars
Reviewed in India on 26 October 2020,Vaibhav Jain,It is a very good and convenient device..,The Air fryer provides an easy and healthy way of preparing our favourite dishes..I loved it..,5.0 out of 5 stars
Reviewed in India on 3 December 2020,Poulomi Banerjee,healthy option,i recommend this one . very nice to do grilled and frying 👍,4.0 out of 5 stars
Reviewed in India on 20 May 2021,ynarendranath,It simply awesome,It simple to make frozen food with few minutes.and it is easy to use.,5.0 out of 5 stars
Reviewed in India on 31 March 2019,mausam,Useful product,I jst loved it,5.0 out of 5 stars
Reviewed in India on 4 March 2020,Amazon Customer,Good to buy this,Nice,5.0 out of 5 stars
Reviewed in India on 2 December 2020,Rajesh Saxena,Good,Good deel,4.0 out of 5 stars
Reviewed in India on 5 April 2021,Dikshant,Inalsa airfryer is a good buy,Overall a good product with temperature control and manual timer.,4.0 out of 5 stars
Reviewed in India on 19 March 2021,Asif Shaikh,Not working anymore,"Stopped working, we hardly add it for 10-15 times in last 8 months.",2.0 out of 5 stars
Reviewed in India on 7 October 2020,Harsh Gupta,Best air fryer,Perfect air fryer.. Its a good.one and i really like it.,5.0 out of 5 stars
Reviewed in India on 7 August 2020,Manish,Very efficient product,Am very satisfied with the product. Easy to use and handle even by kids. Use it almost daily.,5.0 out of 5 stars
Reviewed in India on 5 August 2019,rohin,Good Product,Very good product.... Loved the way it cooks.... Would recommend it is some is looking for such product.,5.0 out of 5 stars
Reviewed in India on 22 September 2020,Sankalp Mathur,Fit and finish not upto the mark,"Overall a good product. However, fit and finish of the mating parts needs improvement.",4.0 out of 5 stars
Reviewed in India on 15 January 2021,Nageswararaoboddupalli,Bad,It is very bad quality I lost my money. It's not working offter one month .,1.0 out of 5 stars
Reviewed in India on 18 December 2019,Msing,Value for money,Full paisa basil product,5.0 out of 5 stars
Reviewed in India on 20 October 2019,Vijay Puri,Good product,"Excellent Fryer, very excited, easy to use, receipe book should have more items",5.0 out of 5 stars
Reviewed in India on 27 July 2019,Harinder Singh,Ok,"Had turned faulty within 10 days but got it repaired from inalsa, amazon should have intervened..",4.0 out of 5 stars
Reviewed in India on 2 March 2019,sonu garg,Value for money,Nice product,5.0 out of 5 stars
Reviewed in India on 18 August 2020,Anuj,Catches fire,It caught fire the first time I switched it on. Thankfully I got a refund.,1.0 out of 5 stars
Reviewed in India on 13 September 2020,Sunil sharma,Product is out of order. Advice..,Item has got some problem n it's out of order since last week. Advice how to return it for repairing.,1.0 out of 5 stars
Reviewed in India on 24 July 2019,Ajeet,poor quality product,it gets broken very frequently.i have used it thrice only till date since buying it on 25th june.twice i had to take help of service engineer.. ajeet,1.0 out of 5 stars
Reviewed in India on 2 February 2020,Amit puri,Must buy!!,"It’s absolutely amazing to use this product, excellent condition, satisfying food with unbeatable taste, must buy this!!",5.0 out of 5 stars
Reviewed in India on 23 January 2021,Certified User,Nice product,It is a good product with good price. It do its job. Exceeded my expectations.,4.0 out of 5 stars
Reviewed in India on 17 February 2020,tarun,Nice product.,"It is value for money, have been cooking frozen goods in this and they all come out great.",4.0 out of 5 stars
Reviewed in India on 3 September 2020,Rohit J,Superb Performance,"Like - freedom from eating deep fried stuff, easy to use, handy & well guided instruction manual.",5.0 out of 5 stars
Reviewed in India on 4 April 2021,ssandhya k.,No user manual,Product has no user Manual no warranty card and no recipe booklet,1.0 out of 5 stars
Reviewed in India on 9 November 2020,Amazon Customer,Not useful,Handle is broken and product takes long to fry or cook things.,1.0 out of 5 stars
Reviewed in India on 24 October 2020,Amazon Customer,Stay healthy with Inalsa Air fryer,Using Air fryer first time. Very useful product from Inalsa for healthy cooking.,4.0 out of 5 stars
Reviewed in India on 5 December 2020,Jaishree,Awesome product,Awesome product.can have guilt free dishes....easy to use.,5.0 out of 5 stars
Reviewed in India on 18 February 2021,Paramvir,No start stop button,Very easily manageable. But does not have a start stop button.,5.0 out of 5 stars
Reviewed in India on 1 May 2021,Amazon Customer,Don’t Buy,Awful.. Stopped working 2 days after return window closed .,1.0 out of 5 stars
Reviewed in India on 17 October 2020,Aditya kapur,Great quality,Good product. Value for money. Spacious product.,4.0 out of 5 stars
Reviewed in India on 9 May 2021,kuldeep singh,This is excellent product,Very versatile product for healthy foods.......Really awesome,5.0 out of 5 stars
Reviewed in India on 28 October 2020,Seema madan,"If you’re looking for a good product at a suitable price, go for it","Amazing easy to use air fryer, happy with service and quality",5.0 out of 5 stars
Reviewed in India on 6 September 2020,Kirti Yagnik,Not working,The product is not heating up at all. It appears defective and is not working at all,1.0 out of 5 stars
Reviewed in India on 3 May 2021,Ravinder sharma,Good looking and working fryer,i ve got this product today and it is in very good condition,5.0 out of 5 stars
Reviewed in India on 1 August 2020,Amazon Customer,Amazing experience,Good product. I am satisfied,5.0 out of 5 stars
Reviewed in India on 20 October 2020,Rahul Jain,Nice product.,Experimented cheese poppers. Good taste.,3.0 out of 5 stars
Reviewed in India on 20 December 2020,Kanchan Sarda,Not worth buying,Lots of problem with this product . The basket is flimsy and started melting,1.0 out of 5 stars
Reviewed in India on 17 February 2021,Jatin Singh,#wifeloveINALSA_FRYLIGHT,"Easy to use, good product, my wife is more happy with this product",5.0 out of 5 stars
Reviewed in India on 17 May 2021,satrajit ghosh,nutritious food at affordable price,Nutritious French Fry being enjoyed during Pandemic,5.0 out of 5 stars
Reviewed in India on 29 October 2020,Upinder Bir Singh,Excellent,Good product.. Easy to use.. Good value for money.,5.0 out of 5 stars
Reviewed in India on 26 April 2021,SUSHIL KUMAR SAXENA,it is good product,u can purchase working fine,5.0 out of 5 stars
Reviewed in India on 3 February 2021,ANUJ RAWAL,Worthy purchase at such a good price.,"Nice finish, good taste, easy to use.",5.0 out of 5 stars
Reviewed in India on 28 January 2021,gurpreet singh,most important to know that how to use it properly.,we like your air fryer very much and we use mostly for french fries.,5.0 out of 5 stars
Reviewed in India on 18 November 2020,Amazon Customer,Good product,Its easy to use and easy to maintain. Inalsa products are worth buying.,4.0 out of 5 stars
Reviewed in India on 19 September 2019,Ankur,Its osum,"Easy to use, a very good product to use without the use of oil...100 prcnt recommended to everyone",5.0 out of 5 stars
Reviewed in India on 4 January 2021,Amazon Customer,Very useful,Very easy to use but its handle is loose,4.0 out of 5 stars
Reviewed in India on 26 August 2019,ashish sharma,Best air fryer,Value for money... have used Phillips air fryer also... there is no difference apart from pricing...,5.0 out of 5 stars
Reviewed in India on 26 April 2021,Lakhan Preet,Worth buying,Perfect buy,5.0 out of 5 stars
Reviewed in India on 4 August 2020,Amazon Customer,Ok type...,I tried bhindi fried .... Not satisfied with the product... disappointed,1.0 out of 5 stars
Reviewed in India on 13 July 2019,Anonymous Customer,Nice product,Nice product. It is convenient to use and great product.,5.0 out of 5 stars
Reviewed in India on 25 November 2020,MORE Chandrakant,Unable to register,Unable to register my product,4.0 out of 5 stars
Reviewed in India on 17 August 2020,Anurodh dixit,Good product,Good and easy to use,5.0 out of 5 stars
Reviewed in India on 10 May 2021,Santosh,Missing manual,No user manual included in the product.,4.0 out of 5 stars
Reviewed in India on 9 April 2021,Sachin Chawla,Happy with the purchase...,"Great product, worth the price.",5.0 out of 5 stars
Reviewed in India on 9 August 2019,Amazon Customer,No guarantee card no invoice no recipe book,No guantee card no recipe book,1.0 out of 5 stars
Reviewed in India on 15 September 2019,Rasik,Absolutely great!!!,Almost all air fryers are same. This has been an awesome one at such a price. Very easy to use and made excellent chiken for me.,5.0 out of 5 stars
Reviewed in India on 12 August 2020,Nitin Naresh,Easy to use. Good to look.,Pretty simple to use and does the job well. And looks good too!,4.0 out of 5 stars
Reviewed in India on 3 November 2020,ankit jhamb,Healthy lifestyle,Very easy to use and efficient to cook your food with less quantity of oil.,5.0 out of 5 stars
Reviewed in India on 1 February 2021,lokesh b.,Nice product,Nice product ......saves your time and best for diet foods...,4.0 out of 5 stars
Reviewed in India on 27 October 2020,Amazon Customer,Value for money.,"Nice product, value for money. Easy to use.",5.0 out of 5 stars
Reviewed in India on 7 March 2021,Anmol Gupta,Good enough for 2 people,Good quantity for 2-3 people. Easy to use,5.0 out of 5 stars
Reviewed in India on 10 August 2020,Dhruwat Bhagat,Do not buy,Worst product to buy. Defective product received twice and pathetic customer service.,1.0 out of 5 stars
Reviewed in India on 7 August 2020,Neetesh Sharma,Money well spent,Best product. Best in its class. Best quality product. Best price,5.0 out of 5 stars
Reviewed in India on 3 February 2021,rajdeep sarkar,Perfect Air Fryer in Budget,Easy to use and clean. Maintains the food flavours.,5.0 out of 5 stars
Reviewed in India on 6 March 2020,Prof. R.,Good buy,Good,4.0 out of 5 stars
Reviewed in India on 2 February 2020,Anshul Kumar,A great buy!,A great product and a great buy. Already used it to make kebabs and potato patties. Came out nice and crispy.,5.0 out of 5 stars
Reviewed in India on 31 July 2020,sukhvinder singh,Very nice,Easy to use,5.0 out of 5 stars
Reviewed in India on 13 February 2021,Rajeev Sharma,Quick and oil free cooking,Very easy to use.,5.0 out of 5 stars
Reviewed in India on 1 January 2021,Dishant Tirath,Good product,Looks great. Easy to use and clean. Nice add-on of recipe book.,4.0 out of 5 stars
Reviewed in India on 20 July 2020,Mouli Mehrotra,Convenient,It's very convenient reasonable and easy to use.A must buy product seriously.,5.0 out of 5 stars
Reviewed in India on 15 August 2020,Ashu,Air fryer,"Very easy and handy,keeps original flavour",5.0 out of 5 stars
Reviewed in India on 31 October 2020,DALJEET SINGH,Value for Money,Nice product with Great Quality. Also you can't beat the price.,5.0 out of 5 stars
Reviewed in India on 6 September 2020,Krishan sharma,To buy Inalsa airfryer is a waste of money,Product is not good. After using it is getting damaged due to heat,1.0 out of 5 stars
Reviewed in India on 16 November 2020,Aruna P.,To know how to use proper way to get tasty food is important in,Likely Easy to use ... Unlike bcoz not get any user manual for,4.0 out of 5 stars
Reviewed in India on 21 November 2019,rohit,Service problem,Don't buy,1.0 out of 5 stars
Reviewed in India on 13 February 2021,mamta rohilla,Very good must buy for modern kitchen,Noiseless..... absolutely awesome product...,5.0 out of 5 stars
Reviewed in India on 2 December 2020,Nitish J.,Grt product in grt price,gud one health friendly and easy to use,5.0 out of 5 stars
Reviewed in India on 12 September 2020,abhisek parichha,Fairly Good,It makes really good french fries.,5.0 out of 5 stars
Reviewed in India on 18 July 2020,vikram dhawan,must buy and value for money.,Very easy to use and also the built quality is very good.,5.0 out of 5 stars
Reviewed in India on 20 October 2020,Marzi,Satisfied with the product performance,Happy with the overall performance. Value for money product.,5.0 out of 5 stars
Reviewed in India on 27 August 2020,Gagandeep Arora,"Nice, value for money",This is value for money product. Tried some frozen food and it cooked well.,4.0 out of 5 stars
Reviewed in India on 17 August 2019,poonam,Good health in good Price,Easy to use value for money,5.0 out of 5 stars
Reviewed in India on 23 June 2019,PIYUSH S.,Value for money,Nice product,5.0 out of 5 stars
Reviewed in India on 10 June 2020,M,Excellent product,"Excellent product for food lovers. Made cutlets, fries and pakoras.",5.0 out of 5 stars
Reviewed in India on 17 August 2020,Shreyas chawla,Worth for money,It's worth for money....a very nice product for daily use....must buyy..,4.0 out of 5 stars
Reviewed in India on 10 September 2020,Naganand,Chinese product,Poor Chinese product,1.0 out of 5 stars
Reviewed in India on 5 April 2021,Vivek dhar,Worth buying for healthy you.,Awesome product,4.0 out of 5 stars
Reviewed in India on 19 August 2020,Nishi Narula,Air fryer,"Perfect product in so gud range, everything comes out so tasty",5.0 out of 5 stars
Reviewed in India on 24 February 2021,Ayush gupta,User friendly,Easy to use product. performace is good,4.0 out of 5 stars
Reviewed in India on 19 April 2021,shahzeb ali,Its very useful product,Easy to use -easy to clean and flavor,4.0 out of 5 stars
Reviewed in India on 17 August 2019,Akhil Chopra,Air fryer Inalsa,"Easy to use, good capacity, high quality plastic material used. Good deal in this price.",5.0 out of 5 stars
Reviewed in India on 21 March 2019,Pareekshit Arya,Good product at this price,No issue after using it for 2 months and giving good qaulity of fry.,5.0 out of 5 stars
Reviewed in India on 29 April 2021,Rakesh Kunwar,It's good to buy,Product is worth and value for money,4.0 out of 5 stars
Reviewed in India on 4 March 2021,navdeep singh,Great product,Cooked fast with very minimal oil,5.0 out of 5 stars
Reviewed in India on 7 November 2020,Sowjanya,Very nice,Very use and very tasty and its cooking very fast,5.0 out of 5 stars
Reviewed in India on 30 September 2019,ankit tandon,Good choice,Not used much. Just a test drive done..overall satisfied.,4.0 out of 5 stars
Reviewed in India on 31 August 2019,Sardar Ji,Defected piece.,Item delivered is not in working condition. I have checked late after 10 days. Otherwise returned.,1.0 out of 5 stars
Reviewed in India on 6 October 2019,Shilpi P.,Nice product by Inalsa,Nice product by Inalsa.Super economical. Very easy to use.Go for it!,5.0 out of 5 stars
Reviewed in India on 11 November 2020,Gitanshu Mehta,Nice,Easy to use,5.0 out of 5 stars
Reviewed in India on 3 August 2020,Amazon Customer,Don't buy seriously,It literally stopped working in a month. What is this garbage product,1.0 out of 5 stars
Reviewed in India on 6 November 2020,Amazon Customer,Its affordable..,The product is good...i can make crispy n juicy chicken.,5.0 out of 5 stars
Reviewed in India on 2 February 2020,ASHISH,Best in rate and quality,Best in class in quality and rate.food cooked is best,5.0 out of 5 stars
Reviewed in India on 3 August 2020,Four Keys Creative Development P L,Great Product,Super easy to use. Great product for anyone looking for an Air fryer,4.0 out of 5 stars
Reviewed in India on 25 December 2019,vishal,Good,"Overall good, but I have not received any recipe book and even warranty card was missing.",5.0 out of 5 stars
Reviewed in India on 3 April 2021,Amazon Customer,Very nice product,Very nice product,5.0 out of 5 stars
Reviewed in India on 6 February 2020,Amazon Customer,Preeti Bhasin,Air Fryer Recipe book not received in the box. Pls. arrange to send it immediately.,5.0 out of 5 stars
Reviewed in India on 3 March 2020,Keshav bhartia,Five star,Must buy product for kitchen,5.0 out of 5 stars
Reviewed in India on 20 May 2020,Neeraj V.,Defective pro6,"Defective,ehen I used yesterday,19 may 2020,what should I do? Please advice.",1.0 out of 5 stars
Reviewed in India on 27 April 2021,vivek madaan,Value for money,Value for money,4.0 out of 5 stars
Reviewed in India on 21 February 2021,Indraneel Paul,Easy to use and great product,Easy to use and clean. Great product.,5.0 out of 5 stars
Reviewed in India on 8 November 2020,Sandeep,Missing warranty card,I have not received warranty card with this.,3.0 out of 5 stars
Reviewed in India on 10 November 2020,Vikas,Nice Product,Nice Product. Easy to use and clean,4.0 out of 5 stars
Reviewed in India on 6 April 2021,Ashish Arya,Nice product!,Nice Product and easy to use.,5.0 out of 5 stars
Reviewed in India on 9 April 2021,Simran Kaur,I like it,Easy to clean,5.0 out of 5 stars
Reviewed in India on 4 February 2021,Shankey ,Value for money product,Easy to use and worth spending money.,5.0 out of 5 stars
Reviewed in India on 21 April 2019,shailesh kumar arya,Good product,Product is good but deliver breakable condition,5.0 out of 5 stars
Reviewed in India on 26 April 2021,Bharat bhushan,Wonderfull,Good product,5.0 out of 5 stars
Reviewed in India on 20 August 2020,saranya,Don't buy,Useless,1.0 out of 5 stars
Reviewed in India on 22 October 2020,Aryan,Nicee,Easy to clean,5.0 out of 5 stars
Reviewed in India on 16 May 2021,Anupama Razdan,INALSA AIR FRYER,Good product,4.0 out of 5 stars
Reviewed in India on 10 November 2020,Naresh D.,Awesome product,Good product for less oil cooking,5.0 out of 5 stars
Reviewed in India on 16 May 2021,Arjit Jain,Good device,Easy to use. Product is good,5.0 out of 5 stars
Reviewed in India on 19 August 2020,Rakesh Singh,Good Product,It's Value for money product,5.0 out of 5 stars
Reviewed in India on 20 October 2020,TARUN GERA,Inalsa,Product is perfectly fine...thanks inalsa..,5.0 out of 5 stars
Reviewed in India on 26 October 2020,Ashish Priyadarshi,Great,Great Product,5.0 out of 5 stars
Reviewed in India on 20 March 2019,Amazon Customer,Damaged product,Received damaged product...initiated retun,1.0 out of 5 stars
Reviewed in India on 6 May 2021,Brijesh hain,Good,It is nice. & easy to use.,4.0 out of 5 stars
Reviewed in India on 28 September 2020,Amit Anand,Feedback,Good and easy to use,5.0 out of 5 stars
Reviewed in India on 7 October 2019,Suman Shukla,Inalsa Air Fryer Light,Excellent product for oil free food preparation. We used it and enjoyed. Suman Shukla 7987180714,5.0 out of 5 stars
Reviewed in India on 19 April 2021,shravan reddy,Super product to use,Like this product,4.0 out of 5 stars
Reviewed in India on 28 January 2021,Amazon Customer,Liked it,Easy to use and serves the purpose,5.0 out of 5 stars
Reviewed in India on 1 March 2021,shikhar,Stopped working in 20 days,Stopped working after 20 days.,1.0 out of 5 stars
Reviewed in India on 22 February 2021,Amazon Customer,Nice product,Happy with the product,4.0 out of 5 stars
Reviewed in India on 3 November 2020,Amazon Customer,Good,"To fry chicken, fish. Need little oil",5.0 out of 5 stars
Reviewed in India on 10 August 2020,Rajiv Bhushan,Push button  not worked,Pressing button not works. It's delivered today,1.0 out of 5 stars
Reviewed in India on 16 August 2020,RICHA CHAUDHARY,Good,"Good product, helps in cutting down your calories.",5.0 out of 5 stars
Reviewed in India on 30 May 2019,jasleen,portable n worthy product,nyc,5.0 out of 5 stars
Reviewed in India on 5 September 2020,Amazon Customer,Great appliance,Easy to clean. Great appliance for your daily needs.,5.0 out of 5 stars
Reviewed in India on 12 August 2020,Peush Sahni,Inalsa air fryer,Satisfied,4.0 out of 5 stars
Reviewed in India on 6 September 2020,Kamla Bisht,A health safe accessory,"Very useful,easy to use, easy to clean",4.0 out of 5 stars
Reviewed in India on 4 November 2019,RAMESH RAINA,Useful device,I like because easy to use and less consumption of electricity,5.0 out of 5 stars
Reviewed in India on 29 September 2019,Jagdeep,Worst product Dont buy,Product not working after 3 months. Worst product waste of money,1.0 out of 5 stars
Reviewed in India on 29 October 2020,Gurpreet Singh Parmar,Very useful,Very good product and very easy to use !!!!,5.0 out of 5 stars
Reviewed in India on 2 August 2020,Renu Rawat,Easiness,Easy to used...no or little amount of oil needed to fry,5.0 out of 5 stars
Reviewed in India on 10 July 2020,FARIDA MASALAWALA,received defective product,received defective product,1.0 out of 5 stars
Reviewed in India on 2 February 2021,Arc14,Great product a must buy,A good buy. Easy toh use,5.0 out of 5 stars
Reviewed in India on 2 August 2020,Navdeep Singh,Awesome product.,"Great product, very easy to use and excellent quality.",5.0 out of 5 stars
Reviewed in India on 2 August 2020,Shobhit Khare,Excellent Product,Excellent product. Great value for money. Worth buying,5.0 out of 5 stars
Reviewed in India on 16 April 2019,Amazon Customer,Good Product !!  Value for money,Received in a decent packing and product is good value for money. Easy to use and cook items without oil.,5.0 out of 5 stars
Reviewed in India on 21 March 2019,yogesh,.,Take too much time to fry. Even performance is not good. Not recommended for a family above two.,1.0 out of 5 stars
Reviewed in India on 2 September 2020,zuhaib,Reviewing Inalsa Air Fryer,The product seems solid and long lasting,5.0 out of 5 stars
Reviewed in India on 16 March 2021,Rakesh Sharma,Best Product,Easy to use,5.0 out of 5 stars
Reviewed in India on 20 October 2020,Mayank,nice product,great product easy to use and easy to clean,5.0 out of 5 stars
Reviewed in India on 26 November 2020,Dhanalakshmi,Easy to use,Easy to use with minimum user buttons!,5.0 out of 5 stars
Reviewed in India on 2 November 2020,Anjan Kumar Nandi,Good purchase,It is a good product and value for money.,5.0 out of 5 stars
Reviewed in India on 20 October 2020,Sritam,Value for money,Wow,5.0 out of 5 stars
Reviewed in India on 23 February 2021,Bhupinder Kaur,Product is very good,It is really very good.,5.0 out of 5 stars
Reviewed in India on 4 August 2019,Rajit menon,Good Product,The product is good and easy to use. Only drawback is it does not have food seperator,4.0 out of 5 stars
Reviewed in India on 18 July 2019,puneet kamra,4 star,good product in reasonable price,4.0 out of 5 stars
Reviewed in India on 18 January 2020,Shantanu Kumar Sachet,Best in class,Easy to use & value for the money. Very good for the health concerns.,5.0 out of 5 stars
Reviewed in India on 7 November 2019,karan,Must buy..  Affordable quality product,Good qulaity product with affordable price. Easy to use and handle.,4.0 out of 5 stars
Reviewed in India on 31 August 2020,Sumit,Bad product,Very bad product. Takes too much time to heat,1.0 out of 5 stars
Reviewed in India on 9 March 2021,denny,Good,The smell persists.,3.0 out of 5 stars
Reviewed in India on 30 September 2020,Sankaradass,Defective product,Got a defective product.,1.0 out of 5 stars
Reviewed in India on 18 October 2020,Mansi,Inalsa air fryer,"the product seems nice, easy to use.",3.0 out of 5 stars
Reviewed in India on 6 April 2021,Mayank,Easy to use.,Good product,5.0 out of 5 stars
Reviewed in India on 19 May 2021,Himanshu Saxena,Nice product,Nice product,4.0 out of 5 stars
Reviewed in India on 22 January 2020,Himanshu Gupta,Easy to Use,Very Good Product......Very Easy to use and comfortable,5.0 out of 5 stars
Reviewed in India on 20 May 2020,Ritu gandhi,Complaint,My airfryer is not working,1.0 out of 5 stars
Reviewed in India on 28 June 2019,Neetu pahuja,"Useless, seems fake","Received a damaged product twice, no longer interested in this, I will rather go for philips",1.0 out of 5 stars
Reviewed in India on 1 April 2021,Sushiela,Good product,Easy to use,5.0 out of 5 stars
Reviewed in India on 23 December 2020,Siddharth Kataria,Best product under ₹4000,Easy to use and affordable,5.0 out of 5 stars
Reviewed in India on 7 February 2021,tilak,It's healthy n hygienic way with inalsa,I like the product,5.0 out of 5 stars
Reviewed in India on 15 February 2020,Ravi Pandey,Value for money,Excellent buy,5.0 out of 5 stars
Reviewed in India on 5 February 2021,aditya,nice,very good product,5.0 out of 5 stars
Reviewed in India on 31 October 2020,Amazon Customer,Helpful,Helpful and easy to use,4.0 out of 5 stars
Reviewed in India on 2 October 2019,Kazi Amid Bari,Damaged food basket after 1st use,"Bad experience, Food basket teflon coating got removed after the 1st use.",1.0 out of 5 stars
Reviewed in India on 29 October 2020,Preeti sawlani,Good,Good and easy to use!!,4.0 out of 5 stars
Reviewed in India on 20 April 2021,J Dsz.,Ok,Average,2.0 out of 5 stars
Reviewed in India on 18 February 2021,Deepa  harisinghani,Nice,Nice product,5.0 out of 5 stars
Reviewed in India on 7 December 2020,madhu,its not working,Its not working,1.0 out of 5 stars
Reviewed in India on 7 August 2020,Ishita,awesome product,Awesome product,5.0 out of 5 stars
Reviewed in India on 20 August 2020,vaibhav k ,"Simple Dial , Easy to Use , Good Capacity",Would Recommend,4.0 out of 5 stars
Reviewed in India on 21 October 2020,Saksham,Good product,Good product,4.0 out of 5 stars
Reviewed in India on 20 August 2019,Suyash,How to avail warranty,After 4 months of use it stopped working..could u pls tell me how to avail warranty,2.0 out of 5 stars
Reviewed in India on 19 September 2020,Sunny Gharat,Inalsa - ok product,Its a ok product,3.0 out of 5 stars
Reviewed in India on 9 July 2020,Ayush,Worth a buy,Good product,5.0 out of 5 stars
Reviewed in India on 29 August 2019,Rima mukherjee,Nice value for money,Oilfree food..love it,5.0 out of 5 stars
